Year,Game Number,Home Team,Away Team,L_2 Cluster,L_2 Cluster Probability_1,L_2 Cluster Probability_2,L_2 Cluster Probability_3,H_1 Cluster,H_1 Cluster Probability_1,H_1 Cluster Probability_2,H_1 Cluster Probability_3,L2 silhouette,H1 silhouette
1999,1,ARI,PHI,2,0.259410697304475,0.45203273317791,0.288556569517616,2,0.258771750275447,0.452901960369782,0.288326289354772,0.404716990757257,0.406037015117509
1999,1,BUF,IND,1,0.644223685180511,0.0890796068172917,0.266696708002197,1,0.645828392704497,0.0885952565230292,0.265576350772473,0.495149253859513,0.497995202735285
1999,1,CAR,NO,3,0.332038041506847,0.145859794545949,0.522102163947204,3,0.33138818658616,0.144423821881983,0.524187991531857,0.147134751911785,0.147346525005855
1999,1,CIN,TEN,2,0.193915414158936,0.565989081594295,0.240095504246769,2,0.194287435510258,0.565595304426771,0.240117260062971,0.430750682105618,0.435062014342612
1999,1,DAL,WAS,2,0.202321013756196,0.554662943280537,0.243016042963266,2,0.201808032314561,0.555473535868759,0.24271843181668,0.534848771951507,0.535808223903701
1999,1,DET,SEA,1,0.75049811707962,0.0710841969570483,0.178417685963332,1,0.749868167912442,0.0710605421301542,0.179071289957404,0.596880072221173,0.596636394082498
1999,1,KC,CHI,3,0.425107227277584,0.137129267331682,0.437763505390734,3,0.423522778068294,0.136836665058224,0.439640556873483,-0.114481614075002,-0.111956389186718
1999,1,MIA,DEN,3,0.288703803091045,0.232618358286399,0.478677838622557,3,0.287757118816354,0.231687880243875,0.480555000939771,0.315909985471028,0.319836325714217
1999,1,MIN,ATL,3,0.275886144922769,0.121730937824514,0.602382917252717,3,0.276320454527455,0.121181336203962,0.602498209268584,0.272508996050369,0.269262932769337
1999,1,NE,NYJ,2,0.12545391924619,0.69428223998486,0.18026384076895,2,0.124343203949385,0.696393423062866,0.179263372987749,0.398885347146422,0.397056795971955
1999,1,NYG,TB,2,0.173737169746496,0.537157097920593,0.289105732332912,2,0.175315785396987,0.531980072840038,0.292704141762975,0.0844336875429837,0.0727572685518105
1999,1,OAK,GB,2,0.165002164909788,0.627439275658035,0.207558559432178,2,0.169037271450636,0.619275938664989,0.211686789884375,0.55586525265759,0.554960644650741
1999,1,PIT,CLE,1,0.677708740244478,0.0963549291445706,0.225936330610951,1,0.68069114550688,0.0951751348165091,0.22413371967661,0.573459895560059,0.575858110288383
1999,1,SF,JAX,3,0.361076711662286,0.122653244069023,0.516270044268691,3,0.362976122776177,0.122128721466325,0.514895155757498,0.0737401431348511,0.0668783438537886
1999,2,ARI,MIA,3,0.215251144526227,0.339088106281169,0.445660749192604,3,0.21552628206024,0.337331314803432,0.447142403136328,0.398813850519072,0.403482630596008
1999,2,ATL,DAL,1,0.826700830254194,0.051670326745814,0.121628842999992,1,0.825019729617457,0.0520817540852988,0.122898516297244,0.67018383773555,0.669633879379227
1999,2,CLE,TEN,1,0.766422601033546,0.0636146483168586,0.169962750649595,1,0.769324588735521,0.0627132935261552,0.167962117738324,0.589356236626775,0.591580005322915
1999,2,DEN,KC,3,0.212514271563982,0.10449431549577,0.682991412940248,3,0.213420039600771,0.105588792260916,0.680991168138313,0.355381929512555,0.35573994454092
1999,2,GB,DET,1,0.453966173987561,0.113778321257271,0.432255504755168,1,0.453990702772974,0.113483191142058,0.432526106084968,0.178992607040996,0.181065939743674
1999,2,IND,NE,2,0.252313404974917,0.4641055006884,0.283581094336682,2,0.251426557077336,0.465397894014775,0.28317554890789,0.431978072497389,0.434132747155331
1999,2,JAX,CAR,2,0.10393956444038,0.750686146068778,0.145374289490842,2,0.103386925139305,0.752223936592011,0.144389138268684,0.458556822254744,0.462112212180727
1999,2,NO,SF,2,0.195118432526195,0.568685932389399,0.236195635084406,2,0.195031537411918,0.568724350345519,0.236244112242563,0.546495010270928,0.547063384724198
